phase,n_peaks,t1,t2,tv,peak_ratio,valley_ratio,beta,phase_old,t1_old,t2_old,peak_ratio_old,valley_ratio_old,bimodal_old
1,2,192,322,264,0.19382227710224914,0.010650904116814902,0.0,1,192,322,0.194,0.011,0
1,2,192,322,266,0.19241172891666553,0.01959521041274205,0.02,1,192,322,0.192,0.02,0
1,2,192,322,268,0.19109917134739685,0.027643109944674046,0.04,1,192,322,0.191,0.028,0
1,2,192,322,270,0.1898807720342449,0.03494992106591092,0.06,1,192,322,0.19,0.035,0
1,2,192,322,271,0.18875266644801353,0.04169631124671516,0.08,1,192,322,0.189,0.042,0
1,2,192,322,273,0.18771097782190166,0.04795081136923321,0.1,1,192,322,0.188,0.048,0
1,2,192,322,274,0.18675183463484962,0.053875750682138436,0.12,1,192,322,0.187,0.054,0
1,2,192,322,275,0.18587138595517622,0.05953060468042836,0.14,1,192,322,0.186,0.06,0
2,3,107,322,276,0.3708846003872693,0.13019691147706355,0.16,2,107,322,0.371,0.13,1
2,3,108,322,277,0.33532147595429007,0.12775556934523494,0.18,2,108,322,0.335,0.128,1
2,3,108,321,278,0.30633499651607055,0.12568824538290768,0.2,2,108,321,0.306,0.126,1
2,3,109,321,278,0.2825036004379025,0.12397332265017061,0.22,2,109,321,0.283,0.124,1
2,3,109,321,279,0.2624196031028291,0.12248206335152477,0.24,2,109,191,0.696,0.14,1
2,3,109,321,280,0.24543608453444354,0.1213295639568958,0.26,2,109,191,0.742,0.152,1
2,3,109,321,280,0.23091365037296385,0.12036740931445365,0.28,2,109,191,0.787,0.166,1
2,3,109,321,281,0.21837711663990927,0.11963792423157729,0.3,2,109,191,0.83,0.179,1
